date,site_id,lat,lon,method,pf_depth,thaw_depth,pf_observed,source,obs_limit
1990-09-01,Deadhorse,70.1613,-148.4653,Frost Probe Transect or Grid & Borehole,71.0,71.0,1,Brown_etal_2000_calm,
1990-09-01,Deadhorse,70.1613,-148.4653,Frost Probe Transect or Grid & Borehole,61.0,61.0,1,Brown_etal_2000_calm,
1990-09-01,Deadhorse,70.1613,-148.4653,Frost Probe Transect or Grid & Borehole,62.0,62.0,1,Brown_etal_2000_calm,
1990-09-01,Deadhorse,70.1613,-148.4653,Frost Probe Transect or Grid & Borehole,61.0,61.0,1,Brown_etal_2000_calm,
1990-09-01,Deadhorse,70.1613,-148.4653,Frost Probe Transect or Grid & Borehole,61.0,61.0,1,Brown_etal_2000_calm,
1990-09-01,Deadhorse,70.1613,-148.4653,Frost Probe Transect or Grid & Borehole,67.0,67.0,1,Brown_etal_2000_calm,
1990-09-01,Deadhorse,70.1613,-148.4653,Frost Probe Transect or Grid & Borehole,56.0,56.0,1,Brown_etal_2000_calm,
1990-09-01,Deadhorse,70.1613,-148.4653,Frost Probe Transect or Grid & Borehole,67.0,67.0,1,Brown_etal_2000_calm,
1990-09-01,Deadhorse,70.1613,-148.4653,Frost Probe Transect or Grid & Borehole,58.0,58.0,1,Brown_etal_2000_calm,
1990-09-01,Deadhorse,70.1613,-148.4653,Frost Probe Transect or Grid & Borehole,63.0,63.0,1,Brown_etal_2000_calm,
1990-09-01,Deadhorse,70.1613,-148.4653,Frost Probe Transect or Grid & Borehole,58.0,58.0,1,Brown_etal_2000_calm,
1990-09-01,Deadhorse,70.1613,-148.4653,Frost Probe Transect or Grid & Borehole,65.0,65.0,1,Brown_etal_2000_calm,
1990-09-01,Deadhorse,70.1613,-148.4653,Frost Probe Transect or Grid & Borehole,63.0,63.0,1,Brown_etal_2000_calm,
1990-09-01,Deadhorse,70.1613,-148.4653,Frost Probe Transect or Grid & Borehole,69.0,69.0,1,Brown_etal_2000_calm,
1990-09-01,Deadhorse,70.1613,-148.4653,Frost Probe Transect or Grid & Borehole,72.0,72.0,1,Brown_etal_2000_calm,
1990-09-01,Deadhorse,70.1613,-148.4653,Frost Probe Transect or Grid & Borehole,70.0,70.0,1,Brown_etal_2000_calm,
1990-09-01,Deadhorse,70.1613,-148.4653,Frost Probe Transect or Grid & Borehole,73.0,73.0,1,Brown_etal_2000_calm,
1990-09-01,Deadhorse,70.1613,-148.4653,Frost Probe Transect or Grid & Borehole,72.0,72.0,1,Brown_etal_2000_calm,
1990-09-01,Deadhorse,70.1613,-148.4653,Frost Probe Transect or Grid & Borehole,72.0,72.0,1,Brown_etal_2000_calm,
1990-09-01,Deadhorse,70.1613,-148.4653,Frost Probe Transect or Grid & Borehole,68.0,68.0,1,Brown_etal_2000_calm,
1990-09-01,Deadhorse,70.1613,-148.4653,Frost Probe Transect or Grid & Borehole,73.0,73.0,1,Brown_etal_2000_calm,
1990-09-01,Deadhorse,70.1613,-148.4653,Frost Probe Transect or Grid & Borehole,,,0,Brown_etal_2000_calm,
1990-09-01,Deadhorse,70.1613,-148.4653,Frost Probe Transect or Grid & Borehole,65.0,65.0,1,Brown_etal_2000_calm,
1990-09-01,Deadhorse,70.1613,-148.4653,Frost Probe Transect or Grid & Borehole,65.0,65.0,1,Brown_etal_2000_calm,
1990-09-01,Deadhorse,70.1613,-148.4653,Frost Probe Transect or Grid & Borehole,70.0,70.0,1,Brown_etal_2000_calm,
1990-09-01,Betty Pingo 1 km grid,70.28333,-148.8667,Frost Probe Transect or Grid,,,0,Brown_etal_2000_calm,
1990-09-01,Betty Pingo 1 km grid,70.28333,-148.8667,Frost Probe Transect or Grid,,,0,Brown_etal_2000_calm,
1990-09-01,Betty Pingo 1 km grid,70.28333,-148.8667,Frost Probe Transect or Grid,,,0,Brown_etal_2000_calm,
1990-09-01,Betty Pingo 1 km grid,70.28333,-148.8667,Frost Probe Transect or Grid,52.0,52.0,1,Brown_etal_2000_calm,
1990-09-01,Betty Pingo 1 km grid,70.28333,-148.8667,Frost Probe Transect or Grid,54.0,54.0,1,Brown_etal_2000_calm,
