Study site,Transect,Sample date,Distanc from start (m),Water depth (cm),Thaw depth (cm),Field notes
Colleen,T1,20200815,96,25,40,
Colleen,T1,20200815,97,0,61,
Colleen,T1,20200815,98,0,60,
Colleen,T1,20200815,99,0,50,
Colleen,T1,20200815,100,0,45,
Colleen,T1,20200815,105,0,64,
Colleen,T1,20200815,110,0,44,
Colleen,T1,20200815,115,0,47,
Colleen,T1,20200815,120,0,48,
Colleen,T1,20200815,125,0,65,
Colleen,T1,20200815,130,0,51,
Colleen,T1,20200815,135,0,54,
Colleen,T1,20200815,140,0,54,
Colleen,T1,20200815,145,0,43,
Colleen,T1,20200815,150,0,51,
Colleen,T1,20200815,155,0,45,
Colleen,T1,20200815,160,0,50,
Colleen,T1,20200815,165,27,43,
Colleen,T1,20200815,170,0,35,
Colleen,T1,20200815,175,0,50,
Colleen,T1,20200815,180,9,50,
Colleen,T1,20200815,185,0,49,
Colleen,T1,20200815,190,0,48,
Colleen,T1,20200815,195,0,43,
Colleen,T1,20200815,200,10,47,
Colleen,T2,20200815,1,0,65,buried by gravel
Colleen,T2,20200815,2,0,69,buried by gravel
Colleen,T2,20200815,3,0,64,
Colleen,T2,20200815,4,0,65,
Colleen,T2,20200815,5,0,66,
Colleen,T2,20200815,6,0,68,
Colleen,T2,20200815,7,9,51,
Colleen,T2,20200815,8,0,60,
Colleen,T2,20200815,9,0,53,
Colleen,T2,20200815,10,0,59,
Colleen,T2,20200815,11,0,57,
Colleen,T2,20200815,12,0,58,
Colleen,T2,20200815,13,0,53,
Colleen,T2,20200815,14,0,56,pond edge
Colleen,T2,20200815,15,13,66,
Colleen,T2,20200815,16,39,71,
Colleen,T2,20200815,17,71,58,
Colleen,T2,20200815,18,76,55,
Colleen,T2,20200815,19,61,61,
Colleen,T2,20200815,20,37,62,
Colleen,T2,20200815,21,7,67,
Colleen,T2,20200815,22,0,53,
Colleen,T2,20200815,23,0,53,
Colleen,T2,20200815,24,0,57,
Colleen,T2,20200815,25,0,57,
Colleen,T2,20200815,26,0,57,
Colleen,T2,20200815,27,0,58,
Colleen,T2,20200815,28,0,56,
Colleen,T2,20200815,29,0,56,
Colleen,T2,20200815,30,0,54,
Colleen,T2,20200815,31,0,47,
Colleen,T2,20200815,32,0,51,
