lat,lon,date,source,site_id,pf_observed,pf_depth,obs_limit,thaw_depth,method,walker_thaw_depth_raw,distance_m
70.22147256059404,-148.4737891,2021-08-24,Walker_2022,Colleen_T2_190,1,57,,57,tp,57,190
70.22143262758313,-148.4738492,2021-08-24,Walker_2022,Colleen_T2_195,1,55,,55,tp,55,195
70.22139269455195,-148.4739093,2021-08-24,Walker_2022,Colleen_T2_200,1,50,,50,tp,50,200
70.229354,-148.42513,2020-08-15,Walker_2022,Jorgenson_JS_0,1,46,,46,tp,46,0
70.22935183155744,-148.4251043,2020-08-15,Walker_2022,Jorgenson_JS_1,1,45,,45,tp,45,1
70.22934966311122,-148.4250786,2020-08-15,Walker_2022,Jorgenson_JS_2,1,56,,56,tp,56,2
70.22934749466134,-148.4250529,2020-08-15,Walker_2022,Jorgenson_JS_3,1,40,,40,tp,40,3
70.22934532620776,-148.4250272,2020-08-15,Walker_2022,Jorgenson_JS_4,1,50,,50,tp,50,4
70.22934315775052,-148.4250015,2020-08-15,Walker_2022,Jorgenson_JS_5,1,43,,43,tp,43,5
70.22934098928962,-148.4249758,2020-08-15,Walker_2022,Jorgenson_JS_6,1,44,,44,tp,44,6
70.22933882082505,-148.4249502,2020-08-15,Walker_2022,Jorgenson_JS_7,1,46,,46,tp,46,7
70.22933665,-148.4249245,2020-08-15,Walker_2022,Jorgenson_JS_8,1,48,,48,tp,48,8
70.22933448388488,-148.4248988,2020-08-15,Walker_2022,Jorgenson_JS_9,1,47,,47,tp,47,9
70.22933232,-148.4248731,2020-08-15,Walker_2022,Jorgenson_JS_10,1,50,,50,tp,50,10
70.22933014693004,-148.4248474,2020-08-15,Walker_2022,Jorgenson_JS_11,1,46,,46,tp,46,11
70.22932797844712,-148.4248217,2020-08-15,Walker_2022,Jorgenson_JS_12,1,49,,49,tp,49,12
70.22932581,-148.424796,2020-08-15,Walker_2022,Jorgenson_JS_13,1,50,,50,tp,50,13
70.22932364147023,-148.4247703,2020-08-15,Walker_2022,Jorgenson_JS_14,1,40,,40,tp,40,14
70.22932147,-148.4247446,2020-08-15,Walker_2022,Jorgenson_JS_15,1,54,,54,tp,54,15
