site_id,lat,lon,date,thaw_depth,pf_observed,source,method,langer_reported_ald_cm,obs_limit,pf_depth,quality_flag_obs_limit_assumed
253,70.10081468,-148.5159027,2018-08-04,43.0,1,Langer_etal_2020,tp,43.0,,43.0,False
254,70.10082946,-148.5159145,2018-08-04,80.0,1,Langer_etal_2020,tp,80.0,,80.0,False
255,70.10086069,-148.5159876,2018-08-04,43.0,1,Langer_etal_2020,tp,43.0,,43.0,False
256,70.0994695,-148.5109307,2018-08-04,69.0,1,Langer_etal_2020,tp,69.0,,69.0,False
256,70.0994695,-148.5109307,2019-07-20,63.0,1,Langer_etal_2020,tp,63.0,,63.0,False
257,70.0994306,-148.5106846,2018-08-04,62.0,1,Langer_etal_2020,tp,62.0,,62.0,False
257,70.0994306,-148.5106846,2019-07-20,54.0,1,Langer_etal_2020,tp,54.0,,54.0,False
258,70.09937338,-148.510448,2018-08-04,67.0,1,Langer_etal_2020,tp,67.0,,67.0,False
258,70.09937338,-148.510448,2019-07-20,44.0,1,Langer_etal_2020,tp,44.0,,44.0,False
259,70.09930205,-148.5100836,2018-08-04,54.0,1,Langer_etal_2020,tp,54.0,,54.0,False
259,70.09930205,-148.5100836,2019-07-20,45.0,1,Langer_etal_2020,tp,45.0,,45.0,False
260,70.09921197,-148.5094409,2018-08-04,53.0,1,Langer_etal_2020,tp,53.0,,53.0,False
261,69.31655788,-148.7295739,2018-08-06,85.0,1,Langer_etal_2020,tp,85.0,,85.0,False
261,69.31655788,-148.7295739,2019-07-19,33.0,1,Langer_etal_2020,tp,33.0,,33.0,False
262,69.31662823,-148.7292173,2018-08-06,55.0,1,Langer_etal_2020,tp,55.0,,55.0,False
262,69.31662823,-148.7292173,2019-07-19,22.0,1,Langer_etal_2020,tp,22.0,,22.0,False
263,69.31650362,-148.7289268,2018-08-06,35.0,1,Langer_etal_2020,tp,35.0,,35.0,False
264,69.31659305,-148.7287087,2018-08-06,65.0,1,Langer_etal_2020,tp,65.0,,65.0,False
264,69.31659305,-148.7287087,2019-07-19,23.0,1,Langer_etal_2020,tp,23.0,,23.0,False
265,69.31662864,-148.72843,2018-08-06,55.0,1,Langer_etal_2020,tp,55.0,,55.0,False
265,69.31662864,-148.72843,2019-07-19,24.0,1,Langer_etal_2020,tp,24.0,,24.0,False
266,69.31664318,-148.7279718,2018-08-06,75.0,1,Langer_etal_2020,tp,75.0,,75.0,False
266,69.31664318,-148.7279718,2019-07-19,58.0,1,Langer_etal_2020,tp,58.0,,58.0,False
267,69.31665584,-148.727541,2018-08-06,65.0,1,Langer_etal_2020,tp,65.0,,65.0,False
267,69.31665584,-148.727541,2019-07-19,69.0,1,Langer_etal_2020,tp,69.0,,69.0,False
268,69.316657,-148.7270735,2018-08-06,85.0,1,Langer_etal_2020,tp,85.0,,85.0,False
268,69.316657,-148.7270735,2019-07-19,25.0,1,Langer_etal_2020,tp,25.0,,25.0,False
269,69.31664395,-148.7263452,2018-08-06,90.0,1,Langer_etal_2020,tp,90.0,,90.0,False
269,69.31664395,-148.7263452,2019-07-19,97.0,1,Langer_etal_2020,tp,97.0,,97.0,False
270,69.31659216,-148.7255859,2018-08-06,42.0,1,Langer_etal_2020,tp,42.0,,42.0,False
270,69.31659216,-148.7255859,2019-07-19,39.0,1,Langer_etal_2020,tp,39.0,,39.0,False
271,69.31659847,-148.7254828,2018-08-06,45.0,1,Langer_etal_2020,tp,45.0,,45.0,False
271,69.31659847,-148.7254828,2019-07-19,32.0,1,Langer_etal_2020,tp,32.0,,32.0,False
272,69.31651611,-148.7251133,2018-08-06,55.0,1,Langer_etal_2020,tp,55.0,,55.0,False
272,69.31651611,-148.7251133,2019-07-19,56.0,1,Langer_etal_2020,tp,56.0,,56.0,False
273,69.31644765,-148.7245675,2018-08-06,30.0,1,Langer_etal_2020,tp,30.0,,30.0,False
273,69.31644765,-148.7245675,2019-07-19,33.0,1,Langer_etal_2020,tp,33.0,,33.0,False
274,69.31642637,-148.7245284,2018-08-06,40.0,1,Langer_etal_2020,tp,40.0,,40.0,False
