site_id,date,lat,lon,thaw_depth,method,source,quality_flag_date_assigned,gpr_native_count,gpr_aggregation_spacing_m,quality_flag_summary_statistic,pf_observed,pf_depth,obs_limit
BS,2013-08-12,71.25586203030304,-156.55363696969698,32.64385151515152,gp,Jafarov_2016,True,33,5.0,True,1,32.64385151515152,
BS,2013-08-12,71.2558445,-156.5535825,35.89925,gp,Jafarov_2016,True,2,5.0,True,1,35.89925,
BS,2013-08-12,71.25582046428572,-156.5535415357143,37.40306071428571,gp,Jafarov_2016,True,28,5.0,True,1,37.40306071428571,
BS,2013-08-12,71.25578616666667,-156.553483,40.73526666666667,gp,Jafarov_2016,True,12,5.0,True,1,40.73526666666667,
BS,2013-08-12,71.25576342857143,-156.5534384285714,43.61118571428572,gp,Jafarov_2016,True,14,5.0,True,1,43.61118571428572,
BS,2013-08-12,71.25573037142857,-156.55340494285716,42.331005714285716,gp,Jafarov_2016,True,35,5.0,True,1,42.331005714285716,
BS,2013-08-12,71.25568163157895,-156.55336663157894,44.56503684210526,gp,Jafarov_2016,True,19,5.0,True,1,44.56503684210526,
BS,2013-08-12,71.25564686666667,-156.5533456,44.59061333333333,gp,Jafarov_2016,True,15,5.0,True,1,44.59061333333333,
BS,2013-08-12,71.25562466666666,-156.55332411111112,44.20673333333333,gp,Jafarov_2016,True,9,5.0,True,1,44.20673333333333,
BS,2013-08-12,71.25559121428572,-156.5532820357143,42.08808571428572,gp,Jafarov_2016,True,28,5.0,True,1,42.08808571428572,
BS,2013-08-12,71.25554457575758,-156.5532440909091,42.94165454545455,gp,Jafarov_2016,True,33,5.0,True,1,42.94165454545455,
BS,2013-08-12,71.25551153333332,-156.55322399999997,42.827153333333335,gp,Jafarov_2016,True,15,5.0,True,1,42.827153333333335,
BS,2013-08-12,71.25548775,-156.553212,42.9845875,gp,Jafarov_2016,True,8,5.0,True,1,42.9845875,
BS,2013-08-12,71.25545805263158,-156.55320247368422,43.01656315789474,gp,Jafarov_2016,True,19,5.0,True,1,43.01656315789474,
BS,2013-08-12,71.255414,-156.5531906111111,43.83184444444444,gp,Jafarov_2016,True,18,5.0,True,1,43.83184444444444,
BS,2013-08-12,71.25536724999999,-156.5531788,44.374695,gp,Jafarov_2016,True,20,5.0,True,1,44.374695,
BS,2013-08-12,71.25532063157894,-156.55315563157896,44.62187368421053,gp,Jafarov_2016,True,19,5.0,True,1,44.62187368421053,
BS,2013-08-12,71.255276125,-156.5531335,43.71001875,gp,Jafarov_2016,True,16,5.0,True,1,43.71001875,
BS,2013-08-12,71.25524136363636,-156.55311409090908,44.09496363636364,gp,Jafarov_2016,True,11,5.0,True,1,44.09496363636364,
BS,2013-08-12,71.25521916666666,-156.55309783333334,41.47755,gp,Jafarov_2016,True,6,5.0,True,1,41.47755,
BS,2013-08-12,71.25518671428571,-156.55308128571428,41.54181904761905,gp,Jafarov_2016,True,21,5.0,True,1,41.54181904761905,
BS,2013-08-12,71.25514141176471,-156.55306247058823,41.535770588235295,gp,Jafarov_2016,True,17,5.0,True,1,41.535770588235295,
BS,2013-08-12,71.25509594444445,-156.5530573888889,43.00708888888889,gp,Jafarov_2016,True,18,5.0,True,1,43.00708888888889,
BS,2013-08-12,71.2550505,-156.5530694375,42.883387500000005,gp,Jafarov_2016,True,16,5.0,True,1,42.883387500000005,
BS,2013-08-12,71.25500677777778,-156.55304794444444,44.16173888888889,gp,Jafarov_2016,True,18,5.0,True,1,44.16173888888889,
BS,2013-08-12,71.25495971428572,-156.55301935714286,43.45695714285715,gp,Jafarov_2016,True,14,5.0,True,1,43.45695714285715,
BS,2013-08-12,71.2549141875,-156.55298525,41.88805,gp,Jafarov_2016,True,16,5.0,True,1,41.88805,
BS,2013-08-12,71.25485490163933,-156.55293940983609,43.14280163934426,gp,Jafarov_2016,True,61,5.0,True,1,43.14280163934426,
BS,2013-08-12,71.25483117647059,-156.5529074117647,44.44135882352941,gp,Jafarov_2016,True,17,5.0,True,1,44.44135882352941,
BS,2013-08-12,71.2548082,-156.5528736,42.26932000000001,gp,Jafarov_2016,True,5,5.0,True,1,42.26932000000001,
BS,2013-08-12,71.25477595833333,-156.55280224999998,42.1748375,gp,Jafarov_2016,True,24,5.0,True,1,42.1748375,
BS,2013-08-12,71.254755,-156.55275,44.5366,gp,Jafarov_2016,True,1,5.0,False,1,44.5366,
BS,2013-08-12,71.25473041666667,-156.552698625,42.28729583333334,gp,Jafarov_2016,True,24,5.0,True,1,42.28729583333334,
BS,2013-08-12,71.2547048,-156.5526292,41.189620000000005,gp,Jafarov_2016,True,5,5.0,True,1,41.189620000000005,
BS,2013-08-12,71.25467985185185,-156.5525424814815,42.13734814814815,gp,Jafarov_2016,True,27,5.0,True,1,42.13734814814815,
BS,2013-08-12,71.25465004347826,-156.5524149130435,40.65215652173913,gp,Jafarov_2016,True,23,5.0,True,1,40.65215652173913,
BS,2013-08-12,71.25462775,-156.55229017857144,38.723735714285716,gp,Jafarov_2016,True,28,5.0,True,1,38.723735714285716,
BS,2013-08-12,71.25461233333333,-156.55221500000002,39.408166666666666,gp,Jafarov_2016,True,3,5.0,True,1,39.408166666666666,
BS,2013-08-12,71.2545991,-156.55213765000002,41.054685,gp,Jafarov_2016,True,20,5.0,True,1,41.054685,
BS,2013-08-12,71.25457453846154,-156.55201984615385,41.21454615384615,gp,Jafarov_2016,True,13,5.0,True,1,41.21454615384615,
BS,2013-08-12,71.25456275,-156.55195475,42.3773,gp,Jafarov_2016,True,4,5.0,True,1,42.3773,
BS,2013-08-12,71.25454509090909,-156.55186486363638,41.555254545454545,gp,Jafarov_2016,True,22,5.0,True,1,41.555254545454545,
BS,2013-08-12,71.25452492307691,-156.5517589230769,41.526007692307694,gp,Jafarov_2016,True,13,5.0,True,1,41.526007692307694,
BS,2013-08-12,71.25451275,-156.5516915,41.5337875,gp,Jafarov_2016,True,8,5.0,True,1,41.5337875,
