File name: prb_gpr_alt_hd.csv,,,,,,,,,,,,,,
Missing value code: Missing data are represented as -999,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
site_ID,lat_prb,lon_prb,alt_prb,unc_alt_prb,lat_gpr,lon_gpr,owtt,velocity,unc_vel,cv_vel,alt_gpr,unc_alt_gpr,vwc,unc_vwc
,,,m,m,,,ns,m/ns,m/ns,m/ns,m,m,,
BS_HD_1,71.261656,-156.616969,0.5,0.03,71.261646,-156.61533,12.35998,0.040453,0.006821,0.160817,0.476982,0.076707,0.652895,0.104997
BS_HD_1,71.261658,-156.616943,0.48,0.03,71.261646,-156.61533,12.864468,0.037312,0.006292,0.160817,0.49645,0.079838,0.723708,0.116385
BS_HD_1,71.261658,-156.616917,0.47,0.03,71.261646,-156.61533,13.066263,-999,-999,0.160817,0.504238,-999,-999,-999
BS_HD_1,71.26166,-156.61689,0.49,0.03,71.261646,-156.61533,13.268059,0.036931,0.006227,0.160817,0.512025,0.082342,0.734737,0.118158
BS_HD_1,71.261661,-156.616864,0.46,0.03,71.261646,-156.61533,12.914917,0.035618,0.006006,0.160817,0.498397,0.080151,0.779156,0.125302
BS_HD_1,71.261661,-156.616837,0.48,0.03,71.261646,-156.61533,12.814019,-999,-999,0.160817,0.494503,-999,-999,-999
BS_HD_1,71.261662,-156.616811,0.5,0.03,71.261646,-156.61533,12.662672,0.039486,0.006658,0.160817,0.488663,0.078585,0.671763,0.108031
BS_HD_1,71.261662,-156.616785,0.49,0.03,71.261646,-156.61533,12.864468,0.038089,0.006423,0.160817,0.49645,0.079838,0.703241,0.113093
BS_HD_1,71.261663,-156.616758,0.58,0.03,71.261646,-156.61533,13.091488,-999,-999,0.160817,0.505211,-999,-999,-999
BS_HD_1,71.261664,-156.616732,0.48,0.03,71.261646,-156.61533,13.318508,0.03604,0.006077,0.160817,0.513972,0.082655,0.763633,0.122805
BS_HD_1,71.261665,-156.616706,0.53,0.03,71.261646,-156.61533,13.520304,0.0392,0.00661,0.160817,0.52176,0.083908,0.677748,0.108993
BS_HD_1,71.261665,-156.616679,0.55,0.03,71.261646,-156.61533,13.772548,0.039935,0.006734,0.160817,0.531494,0.085473,0.662768,0.106584
