FID,SiteID,DataType,Date,Lon_WGS84,Lat_WGS84,x_UTMz6N,y_UTMz6N,Altitude,ALT,OLT,Vegetation,Comments,xERT_plan,xERT_true
150,Vault lake,ERT,20210914,-147.6992645,65.02980917,467062.3,7211958.97,225.48,-9999,-9999,-9999,inerpolated,132,133.58
151,Vault lake,ERT,20210914,-147.6992611,65.02982785,467062.48,7211961.05,225.48,999,-9999,-9999,Lake edge,134,135.67
152,Vault lake,ERT,20210914,-147.6992595,65.02984499,467062.58,7211962.96,226.28,-9999,-9999,-9999,-9999,136,137.58
153,Vault lake,ERT,20210914,-147.6992575,65.02986088,467062.69,7211964.73,226.49,-9999,-9999,-9999,-9999,138,139.35
154,Vault lake,ERT,20210914,-147.6992489,65.02988058,467063.12,7211966.92,226.38,73,-9999,Tussock,Crosses Sergei line,140,141.59
155,Vault lake,ERT,20210914,-147.6992464,65.02989764,467063.26,7211968.82,226.55,-9999,-9999,-9999,-9999,142,143.49
156,Vault lake,ERT,20210914,-147.6992465,65.02991648,467063.28,7211970.92,226.35,-9999,-9999,-9999,-9999,144,145.59
157,Vault lake,ERT,20210914,-147.6992438,65.02993444,467063.43,7211972.92,226.4,-9999,-9999,-9999,-9999,146,147.6
158,Vault lake,ERT,20210914,-147.6992412,65.02995105,467063.57,7211974.77,226.26,-9999,-9999,-9999,-9999,148,149.45
159,Vault lake,ERT,20210914,-147.6992396,65.02996999,467063.67,7211976.88,226.61,71,-9999,Tussock,-9999,150,151.56
160,Vault lake,ERT,20210914,-147.6992377,65.0299866,467063.78,7211978.73,226.8,-9999,-9999,-9999,-9999,152,153.42
161,Vault lake,ERT,20210914,-147.6992365,65.03000509,467063.86,7211980.79,226.79,-9999,-9999,-9999,-9999,154,155.48
162,Vault lake,ERT,20210914,-147.6992335,65.03002189,467064.02,7211982.66,227.1,-9999,-9999,-9999,-9999,156,157.36
163,Vault lake,ERT,20210914,-147.6992289,65.03004003,467064.26,7211984.68,227.2,-9999,-9999,-9999,-9999,158,159.39
164,Vault lake,ERT,20210914,-147.6992298,65.03005932,467064.24,7211986.83,227.22,53,-9999,Tussock some bl spruce,-9999,160,161.54
165,Vault lake,ERT,20210914,-147.6992201,65.03007642,467064.72,7211988.73,227.33,-9999,-9999,-9999,-9999,162,163.5
166,Vault lake,ERT,20210914,-147.6992171,65.03009204,467064.88,7211990.47,227.39,-9999,-9999,-9999,-9999,164,165.24
167,Vault lake,ERT,20210914,-147.6992118,65.03010957,467065.15,7211992.42,227.56,-9999,-9999,-9999,-9999,166,167.22
168,Vault lake,ERT,20210914,-147.6992117,65.03012832,467065.18,7211994.51,227.68,-9999,-9999,-9999,-9999,168,169.3
