site_id,source,date,lat,lon,pf_observed,pf_depth,pf_depth_std,n_measurements,thaw_depth,obs_limit,method,timeSinceFire,org_thick,burn_unburn,measured_thaw_depth,measured_date
a,Talucci_2024,2019-10-03,61.2706,-163.236,1,88.88,27.78,56,88.88,,unknown,4,25.0,burned,,
a,Talucci_2024,2018-10-09,61.2707,-163.239,1,65.55,16.95,60,65.55,,unknown,,25.0,unburned,,
YKDU,Talucci_2024,2017-10-05,61.2707,-163.2384,1,63.85,3.98,13,63.85,,unknown,,,unburned,,
YKDU,Talucci_2024,2017-10-05,61.27076,-163.2388,1,59.69,4.46,13,59.69,,unknown,,,unburned,,
YKD,Talucci_2024,2017-10-05,61.27076,-163.23,1,55.11,9.78,9,55.11,,unknown,2,,burned,,
yk_delta_izaviknek_uplands,Talucci_2024,2017-10-05,61.2711,-162.6291,1,63.05,7.07,34,63.05,,unknown,2,45.0,burned,,
yk_delta_izaviknek_uplands,Talucci_2024,2018-10-14,61.2711,-162.6291,1,66.42,11.73,34,66.42,,unknown,3,-999.0,burned,,
yk_delta_izaviknek_uplands,Talucci_2024,2018-10-14,61.2725,-162.6203,1,65.08,9.95,12,65.08,,unknown,3,-999.0,burned,,
YKD,Talucci_2024,2016-10-03,61.27362,-163.23,1,71.66,5.89,93,71.66,,unknown,1,,burned,,
yk_delta_izaviknek_uplands,Talucci_2024,2018-10-14,61.275,-162.612,1,73.92,7.32,12,73.92,,unknown,3,-999.0,burned,,
yk_delta_izaviknek_uplands,Talucci_2024,2017-10-05,61.2754,-162.6321,1,70.05,23.96,31,70.05,,unknown,2,28.0,burned,,
yk_delta_izaviknek_uplands,Talucci_2024,2018-10-14,61.2754,-162.6321,1,97.25,49.99,31,97.25,,unknown,3,-999.0,burned,,
yk_delta_izaviknek_uplands,Talucci_2024,2018-10-14,61.2754,-162.6025,1,65.0,7.57,12,65.0,,unknown,3,-999.0,burned,,
yk_delta_izaviknek_uplands,Talucci_2024,2018-10-14,61.2768,-162.6233,1,78.58,25.06,12,78.58,,unknown,3,-999.0,burned,,
yk_delta_izaviknek_uplands,Talucci_2024,2018-10-14,61.2782,-162.6144,1,63.75,7.57,12,63.75,,unknown,3,-999.0,burned,,
YKD,Talucci_2024,2016-10-03,61.27825,-162.631,1,70.89,5.81,93,70.89,,unknown,1,,burned,,
yk_delta_izaviknek_uplands,Talucci_2024,2018-10-14,61.2796,-162.6351,1,74.0,14.21,12,74.0,,unknown,3,-999.0,burned,,
yk_delta_izaviknek_uplands,Talucci_2024,2018-10-14,61.2796,-162.6055,1,65.42,6.36,12,65.42,,unknown,3,-999.0,burned,,
yk_delta_izaviknek_uplands,Talucci_2024,2017-10-05,61.28,-162.8636,1,54.67,4.81,21,54.67,,unknown,,28.0,unburned,,
yk_delta_izaviknek_uplands,Talucci_2024,2018-10-14,61.281,-162.6263,1,88.67,40.87,12,88.67,,unknown,3,-999.0,burned,,
yk_delta_izaviknek_uplands,Talucci_2024,2018-10-14,61.2825,-162.6174,1,68.92,7.19,12,68.92,,unknown,3,-999.0,burned,,
f,Talucci_2024,2019-10-03,61.2838,-163.348,1,75.8,25.21,15,75.8,,unknown,,25.0,unburned,,
f,Talucci_2024,2019-10-03,61.2839,-163.348,1,92.73,24.24,15,92.73,,unknown,,25.0,unburned,,
yk_delta_izaviknek_uplands,Talucci_2024,2018-10-14,61.2839,-162.6085,1,85.0,22.84,12,85.0,,unknown,3,-999.0,burned,,
f,Talucci_2024,2019-10-03,61.2841,-163.348,1,78.73,21.96,15,78.73,,unknown,,25.0,unburned,,
yk_delta_izaviknek_uplands,Talucci_2024,2017-10-05,61.2894,-162.8768,1,59.0,6.28,18,59.0,,unknown,32,43.0,burned,,
f,Talucci_2024,2019-10-03,61.2895,-163.341,1,78.67,24.67,30,78.67,,unknown,47,25.0,burned,,
f,Talucci_2024,2019-10-03,61.2897,-163.341,1,76.13,30.5,15,76.13,,unknown,47,25.0,burned,,
YKD,Talucci_2024,2017-10-05,61.29217,-163.361,1,55.22,8.66,9,55.22,,unknown,45,,burned,,
f,Talucci_2024,2019-10-03,61.2937,-163.336,1,98.86,32.67,14,98.86,,unknown,4,25.0,burned,,
f,Talucci_2024,2019-10-03,61.2938,-163.336,1,89.53,28.99,15,89.53,,unknown,4,25.0,burned,,
f,Talucci_2024,2019-10-03,61.2939,-163.336,1,110.31,32.76,13,110.31,,unknown,4,25.0,burned,,
scotty_2014,Talucci_2024,2015-10-09,61.3,-121.3,1,73.25,34.98,144,73.25,,unknown,1,200.0,burned,,
scotty_unburn,Talucci_2024,2015-10-09,61.3,-121.3,1,61.43,29.09,144,61.43,,unknown,,200.0,unburned,,
YKD,Talucci_2024,2015-10-16,61.30083,-162.5275,1,73.2,9.87,15,73.2,,unknown,0,,burned,,
