lon,lat,pf_depth,pf_observed,obs_limit,site_id,thaw_depth,year,month,day,date,method,source,comments
140.75,76.75,49.997646,1,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
141.25,76.75,49.997433,1,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
141.75,76.75,54.154335,1,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
142.25,76.75,50.005936,1,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
142.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
143.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
143.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
144.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
144.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
145.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
145.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
146.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
146.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
147.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
