site_id,pf_observed,pf_depth,org_thick,org_thick_lower_bound,Canopy and Surface,Burn Year,Relief,Soil Type,lat,lon,source,thaw_depth,obs_limit,date,method,quality_flag_date_assigned,quality_flag_date_source_approximate,quality_flag_obs_limit_assumed,quality_flag_model_or_estimate,quality_flag_method_approximate_or_unknown,quality_flag_upper_bound_presence
31,1,84.0,91,False,Spruce; hummocky sphagnum and lab tea,,Low,"Sand, silt",60.41035,-116.36451,Holloway_2019,84.0,,1962-09-15,tp,True,,False,,True,False
32,1,69.0,236,False,Spruce; hummocky sphagnum with lichen and lab tea,,Low,Scattered stones,60.33794,-116.46609,Holloway_2019,69.0,,1962-09-15,tp,True,,False,,True,False
33,1,60.0,61,True,"Spruce, willow; Sphagnum, lichen, and lab tea",,Low,"Wet gravel, clay",60.27453,-116.56459,Holloway_2019,60.0,,1962-09-15,tp,True,,False,,True,False
34,1,150.0,30,False,"Spruce; hummocky sphagnum, lichen, lab tea",,Low,"Silt, sand, clay",60.27686,-116.56364,Holloway_2019,150.0,,1962-09-15,tp,True,,False,,True,False
35,1,61.0,30,False,"Spruce; hummocky sphagnum, lichen, lab tea",,Low,"Silt, sand, clay",60.27436,-116.56295,Holloway_2019,61.0,,1962-09-15,tp,True,,False,,True,False
36,0,,,False,"Poplar, birch, jack pine",,High,Sand and gravel,60.20906,-116.64973,Holloway_2019,,200.0,1962-09-15,tp,True,,True,,True,False
37,0,,,False,"Jack pine, spruce, poplar",,High,"Silt, sand",60.17967,-116.68008,Holloway_2019,,200.0,1962-09-15,tp,True,,True,,True,False
38,0,,,False,"Poplar, birch, jack pine, spruce; forest litter",,High,"Organic sand, silt, clay",60.10029,-116.76576,Holloway_2019,,200.0,1962-09-15,tp,True,,True,,True,False
39,1,60.0,137,False,Spruce; sphagnum,,Low,"Clay, silt",60.03948,-116.87433,Holloway_2019,60.0,,1962-09-15,tp,True,,False,,True,False
41,1,60.0,91,False,"Spruce; Hummocky sphagnum, lichen, and labrador tea",,Low,"Clay, silt, sand",59.9962,-116.9896,Holloway_2019,60.0,,1962-09-15,tp,True,,False,,True,False
43,1,,,False,Spruce; sphagnum,,Low,,59.94423,-117.02242,Holloway_2019,,,1962-09-15,tp,True,,False,,True,True
44,1,76.0,,False,Spruce; hummocky sphagnum,,Sloping,,59.95136,-117.02227,Holloway_2019,76.0,,1962-09-15,tp,True,,False,,True,False
45,1,60.0,61,True,Spruce; hummocky sphagnum,,Sloping,Clay,59.95052,-117.0226,Holloway_2019,60.0,,1962-09-15,tp,True,,False,,True,False
46,1,60.0,91,False,Spruce; hummocky sphagnum,,Low,"Silt, clay",59.94542,-117.02686,Holloway_2019,60.0,,1962-09-15,tp,True,,False,,True,False
47,0,,61,False,Spruce; sphagnum wet,,Low,"Clay, silt",59.94048,-117.02804,Holloway_2019,,200.0,1962-09-15,tp,True,,True,,True,False
48,0,,61,False,"Spruce; sphagnum, wet",,Low,"Clay, silt",59.93747,-117.02764,Holloway_2019,,200.0,1962-09-15,tp,True,,True,,True,False
49,1,66.0,152,False,Spruce; Peat plateau with hummocky sphagnum and labrador tea,,Low,"Clay, silt",59.92448,-117.03551,Holloway_2019,66.0,,1962-09-15,tp,True,,False,,True,False
50,0,,30,False,"Spruce; moss, sedge, wet",,Low,"Clay, silt",59.92441,-117.03552,Holloway_2019,,200.0,1962-09-15,tp,True,,True,,True,False
51,0,,76,False,"Spruce, tamarack; moss, lichen",,High,"Silt, clay",59.90224,-117.0419,Holloway_2019,,200.0,1962-09-15,tp,True,,True,,True,False
52,0,,30,False,"Spruce, poplar",,High,"Silt, clay",59.90078,-117.04226,Holloway_2019,,200.0,1962-09-15,tp,True,,True,,True,False
53,1,61.0,91,False,"Spruce; Hummocky sphagnum, lichen, and labrador tea",,Low,"Clay, silt",59.89345,-117.04266,Holloway_2019,61.0,,1962-09-15,tp,True,,False,,True,False
54,1,61.0,60,True,Spruce; hummocky sphagnum,,Low,Clay,59.87871,-117.04252,Holloway_2019,61.0,,1962-09-15,tp,True,,False,,True,False
55,1,244.0,,False,,,River or stream valley,Sand,59.8577,-117.03937,Holloway_2019,244.0,,1962-09-15,tp,True,,False,,True,False
