Site ,Transect,Location,TD,Notes
16,1,67,65,
16,1,68,69,
16,1,69,86,
16,1,70,76,
16,1,71,80,
16,1,72,70,
16,1,73,67,
16,1,74,69,
16,1,75,65,
16,1,76,67,
16,1,77,76,
16,1,78,66,
16,1,79,64,
16,1,80,81,
16,1,81,69,
16,1,82,73,
16,1,83,67,
16,1,84,70,
16,1,85,75,
16,1,86,69,
16,1,87,75,
16,1,88,80,
16,1,89,69,
16,1,90,76,
16,1,91,69,
16,1,92,64,
16,1,93,55,
16,1,94,62,
16,1,95,71,
16,1,96,66,
16,1,97,73,
16,1,98,68,
16,1,99,73,
16,1,100,67,
17,1,0,76,
17,1,1,65,
17,1,2,62,
17,1,3,64,
17,1,4,66,
17,1,5,87,
17,1,6,722,
17,1,7,94,
17,1,8,110,
17,1,9,111,
17,1,10,115,
17,1,11,82,
17,1,12,80,
17,1,13,116,depth was greater than probe length of 115 cm
17,1,14,116,depth was greater than probe length of 115 cm
17,1,15,107,
17,1,16,113,
17,1,17,100,
17,1,18,80,
17,1,19,80,
17,1,20,81,
17,1,21,98,
17,1,22,75,
17,1,23,68,
17,1,24,72,
17,1,25,72,
17,1,26,58,
17,1,27,48,
17,1,28,55,
17,1,29,60,
17,1,30,55,
17,1,31,57,
17,1,32,49,
17,1,33,62,
17,1,34,49,
17,1,35,55,
17,1,36,60,
17,1,37,56,
17,1,38,55,
17,1,39,48,
17,1,40,68,
17,1,41,48,
17,1,42,50,
17,1,43,64,
17,1,44,81,
17,1,45,101,
17,1,46,105,
17,1,47,87,
17,1,48,76,
17,1,49,66,
17,1,50,68,
21,1,0,55,
21,1,1,46,
21,1,2,50,
21,1,3,55,
21,1,4,54,
21,1,5,55,
21,1,6,60,
21,1,7,62,
21,1,8,51,
21,1,9,66,
21,1,10,66,
21,1,11,76,
21,1,12,67,
21,1,13,63,
21,1,14,69,
21,1,15,90,
21,1,16,90,
21,1,17,74,
21,1,18,93,
21,1,19,83,
21,1,20,81,
21,1,21,83,
21,1,22,83,
21,1,23,74,
21,1,24,71,
21,1,25,79,
21,1,26,75,
21,1,27,70,
21,1,28,71,
21,1,29,61,
21,1,30,57,
21,1,31,60,
21,1,32,62,
21,1,33,68,
21,1,34,68,
21,1,35,57,
21,1,36,58,
21,1,37,54,
21,1,38,62,
21,1,39,69,
21,1,40,50,
21,1,41,59,
21,1,42,56,
21,1,43,47,
21,1,44,52,
21,1,45,54,
21,1,46,51,
21,1,47,46,
21,1,48,43,
21,1,49,42,
21,1,50,45,
21,1,51,47,
21,1,52,48,
21,1,53,52,
21,1,54,45,
21,1,55,43,
21,1,56,44,
21,1,57,55,
21,1,58,6,
21,1,59,54,
21,1,60,72,
21,1,61,70,
21,1,62,83,
21,1,63,76,
21,1,64,76,
21,1,65,84,
21,1,66,73,
21,1,67,67,
21,1,68,55,
21,1,69,67,
21,1,70,60,
21,1,71,52,
21,1,72,57,
21,1,73,44,
21,1,74,54,
21,1,75,56,
21,1,76,32,
21,1,77,51,
21,1,78,64,
21,1,79,69,
21,1,80,59,
21,1,81,54,
21,1,82,58,
21,1,83,53,
21,1,84,53,
21,1,85,50,
21,1,86,57,
21,1,87,54,
21,1,88,63,
21,1,89,50,
21,1,90,44,
21,1,91,49,
21,1,92,45,
21,1,93,52,
21,1,94,54,
21,1,95,57,
21,1,96,54,
21,1,97,52,
21,1,98,60,
21,1,99,56,
21,1,100,47,
